n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,0.1044552326202392,-0.314,237.9422,0.8116,0.6304,0.2595,0.6335,0.4529,0.4557,0.3069,0.885,0.4557,0.5091,skl_agglomerativeClust,2d-10c_y.zip
10,correlation,complete,0.098358154296875,0.0652,239.1906,54.7571,0.7401,0.2492,0.6604,0.3543,0.3587,0.3199,0.4082,0.3587,0.4157,skl_agglomerativeClust,2d-10c_y.zip
10,correlation,single,0.0618252754211425,0.1598,237.3645,0.7709,0.6311,0.2611,0.635,0.4545,0.4572,0.3076,0.8899,0.4572,0.5107,skl_agglomerativeClust,2d-10c_y.zip
10,cosine,average,0.1308140754699707,0.7843,42576.7448,0.2863,0.9991,0.9964,2.0567,0.9951,0.9951,0.9963,0.9938,0.9951,0.9969,skl_agglomerativeClust,2d-10c_y.zip
10,cosine,complete,0.1249701976776123,0.7395,39860.8197,0.5066,0.9873,0.945,2.0263,0.9602,0.9604,0.9816,0.9401,0.9604,0.953,skl_agglomerativeClust,2d-10c_y.zip
10,cosine,single,0.0506908893585205,0.7842,42539.6605,0.2862,0.9995,0.9979,2.0601,0.9968,0.9968,0.998,0.9956,0.9968,0.9982,skl_agglomerativeClust,2d-10c_y.zip
10,euclidean,average,0.1252603530883789,0.7881,42412.9452,0.2954,0.9998,0.9992,2.0643,0.999,0.999,1.0,0.9979,0.999,0.9993,skl_agglomerativeClust,2d-10c_y.zip
10,euclidean,complete,0.1201951503753662,0.7661,46406.4058,0.4523,0.9892,0.9528,2.0585,0.9737,0.9739,0.9972,0.9516,0.9739,0.9598,skl_agglomerativeClust,2d-10c_y.zip
10,euclidean,single,0.0380706787109375,0.6983,15995.6397,0.2877,0.9642,0.8639,1.8806,0.952,0.9523,0.911,0.9974,0.9523,0.8906,skl_agglomerativeClust,2d-10c_y.zip
10,euclidean,ward,0.1569852828979492,0.765,46505.0906,0.4376,0.9897,0.955,2.0643,0.9764,0.9766,1.0,0.9542,0.9766,0.9617,skl_agglomerativeClust,2d-10c_y.zip
12,correlation,average,0.1041352748870849,-0.3136,195.0132,0.7926,0.631,0.26,0.6354,0.4528,0.4562,0.3078,0.8808,0.4562,0.5094,skl_agglomerativeClust,2d-10c_y.zip
12,correlation,complete,0.0980794429779052,0.0657,196.0756,52.2063,0.7535,0.2502,0.6658,0.3394,0.3447,0.3225,0.37,0.3447,0.4064,skl_agglomerativeClust,2d-10c_y.zip
12,correlation,single,0.0615887641906738,0.1605,194.5392,0.7585,0.6317,0.2616,0.637,0.4545,0.4577,0.3086,0.8857,0.4577,0.511,skl_agglomerativeClust,2d-10c_y.zip
12,cosine,average,0.13116455078125,0.7537,38543.6159,0.4828,0.9907,0.9598,2.0567,0.9733,0.9735,0.9963,0.9518,0.9735,0.9657,skl_agglomerativeClust,2d-10c_y.zip
12,cosine,complete,0.1244604587554931,0.6354,38189.9875,0.6312,0.9668,0.8453,2.0283,0.9187,0.9192,0.9825,0.8636,0.9192,0.8709,skl_agglomerativeClust,2d-10c_y.zip
12,cosine,single,0.0502290725708007,0.7139,35132.4723,0.3261,0.9992,0.9966,2.0601,0.9952,0.9952,0.998,0.9924,0.9952,0.9971,skl_agglomerativeClust,2d-10c_y.zip
12,euclidean,average,0.1234321594238281,0.7226,34981.795,0.3409,0.9996,0.9982,2.0643,0.9974,0.9974,1.0,0.9949,0.9974,0.9985,skl_agglomerativeClust,2d-10c_y.zip
12,euclidean,complete,0.1204280853271484,0.7155,44203.3373,0.5765,0.9828,0.9238,2.0585,0.9499,0.9502,0.9972,0.9074,0.9502,0.9356,skl_agglomerativeClust,2d-10c_y.zip
12,euclidean,single,0.0379047393798828,0.5955,13158.4287,0.3419,0.9641,0.8632,1.8808,0.9505,0.9508,0.9111,0.9941,0.9508,0.8898,skl_agglomerativeClust,2d-10c_y.zip
12,euclidean,ward,0.1561033725738525,0.6554,47080.1141,0.5918,0.9652,0.8357,2.0643,0.9291,0.9296,1.0,0.8685,0.9296,0.8642,skl_agglomerativeClust,2d-10c_y.zip
2,correlation,average,0.1042866706848144,0.4664,2121.4965,1.0688,0.6286,0.2591,0.6274,0.4548,0.4554,0.3039,0.9076,0.4554,0.5099,skl_agglomerativeClust,2d-10c_y.zip
2,correlation,complete,0.0981354713439941,0.4664,2121.4965,1.0688,0.6286,0.2591,0.6274,0.4548,0.4554,0.3039,0.9076,0.4554,0.5099,skl_agglomerativeClust,2d-10c_y.zip
2,correlation,single,0.0616514682769775,0.4664,2121.4965,1.0688,0.6286,0.2591,0.6274,0.4548,0.4554,0.3039,0.9076,0.4554,0.5099,skl_agglomerativeClust,2d-10c_y.zip
2,cosine,average,0.1357619762420654,0.4405,1885.4943,0.9803,0.5836,0.2276,0.638,0.4717,0.4722,0.3091,1.0,0.4722,0.4983,skl_agglomerativeClust,2d-10c_y.zip
2,cosine,complete,0.1323130130767822,0.4702,2146.752,1.0052,0.6131,0.2527,0.6683,0.4886,0.4891,0.3237,1.0,0.4891,0.5122,skl_agglomerativeClust,2d-10c_y.zip
2,cosine,single,0.0505752563476562,0.4133,1687.2238,0.9692,0.5906,0.2334,0.6452,0.4758,0.4763,0.3126,1.0,0.4763,0.5015,skl_agglomerativeClust,2d-10c_y.zip
2,euclidean,average,0.1231036186218261,0.4702,2146.752,1.0052,0.6131,0.2527,0.6683,0.4886,0.4891,0.3237,1.0,0.4891,0.5122,skl_agglomerativeClust,2d-10c_y.zip
2,euclidean,complete,0.1207547187805175,0.4526,2125.9148,1.0006,0.5715,0.2179,0.6254,0.4645,0.465,0.303,1.0,0.465,0.493,skl_agglomerativeClust,2d-10c_y.zip
2,euclidean,single,0.0380339622497558,0.4247,1740.5483,0.9692,0.5268,0.1846,0.5778,0.4368,0.4374,0.2799,1.0,0.4374,0.4746,skl_agglomerativeClust,2d-10c_y.zip
2,euclidean,ward,0.1601734161376953,0.4702,2146.752,1.0052,0.6131,0.2527,0.6683,0.4886,0.4891,0.3237,1.0,0.4891,0.5122,skl_agglomerativeClust,2d-10c_y.zip
4,correlation,average,0.1044898033142089,-0.1336,708.0917,0.9472,0.629,0.2591,0.6286,0.4543,0.4553,0.3045,0.9022,0.4553,0.5097,skl_agglomerativeClust,2d-10c_y.zip
4,correlation,complete,0.0980958938598632,0.0712,709.6783,10.9471,0.6482,0.2565,0.6301,0.4307,0.4324,0.3052,0.741,0.4324,0.4928,skl_agglomerativeClust,2d-10c_y.zip
