n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1.0302255153656006,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.923870086669922,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1.1398370265960691,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1.1306381225585938,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1.0361487865447998,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1.039018630981445,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.9802634716033936,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1.0117082595825195,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1.0964038372039795,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1.0888385772705078,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1.054252862930298,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1.038381814956665,0.3015,4014.6716,0.9749,0.9033,0.4945,1.7067,0.7288,0.7299,0.6305,0.8667,0.7299,0.5811,kmeans+dt,s-set2_y.zip-10_True_k
