n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,k-means++,11,100,0.0001,False,42,True,lloyd,0.0973870754241943,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,,,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,0.0903699398040771,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,1000.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,0.084214448928833,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,100.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,0.0869998931884765,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,inf,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,0.0797462463378906,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,,,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,0.0859870910644531,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,1000.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,0.0942602157592773,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,100.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,0.1152403354644775,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,inf,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,0.1030991077423095,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,,,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,0.1145257949829101,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,1000.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,0.0855979919433593,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,100.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,0.0632603168487548,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,inf,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,0.0903699398040771,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,1000.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,0.084214448928833,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,100.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,0.0869998931884765,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,inf,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,0.0859870910644531,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,1000.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,0.0942602157592773,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,100.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,0.1152403354644775,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,inf,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,0.1145257949829101,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,1000.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,0.0855979919433593,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,100.0,20.0,skl_kmeans,longsquare_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,0.0632603168487548,0.5052,2274.0411,0.7819,0.9495,0.7944,1.7298,0.8643,0.866,0.9655,0.7852,0.866,0.8339,inf,20.0,skl_kmeans,longsquare_y.zip-10_k
